Main Category,Category,Subcategory,Search Keyword,Product Name,Company Name,Price,MOQ,Location,Rating,Reviews,Image URL,Product URL,Product Description
Construction,Building Materials,River Sand,river sand,NELLORE Pure Rough River Sand,Kumaravel Traders,"₹ 7,500",,Chennai,,,https://5.imimg.com/data5/IOS/Default/2022/1/PZ/JJ/VX/73706863/product-jpeg-250x250.png,https://www.indiamart.com/proddetail/pure-rough-river-sand-24690128462.html,NELLORE Pure Rough River Sand
Construction,Building Materials,River Sand,river sand,Brown River Sand,Rashi Enterprise,₹ 650,,Ahmedabad,,,https://5.imimg.com/data5/SELLER/Default/2024/8/444909734/OL/DQ/RN/38077502/img-20210831-wa0004-jpg-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2854711363288.html,GST Email Mobile Member: 9 yrs
Construction,Building Materials,River Sand,river sand,River Sand Pindwara Reti,Swaminarayan Building Material Suppliers,₹ 850,Swaminarayan Building Material Suppliers,Udaipur,,,https://5.imimg.com/data5/SELLER/Default/2022/9/LF/TE/VO/157714594/sand-3--250x250.jpeg,https://www.indiamart.com/proddetail/pindwara-reti-2850473677497.html,River Sand Pindwara Reti
Construction,Building Materials,River Sand,river sand,"Bagged Pure River Sand, 52 Afs",SSN Construction Materials,"₹ 2,100",,Hyderabad,,,https://5.imimg.com/data5/SELLER/Default/2022/3/CR/LC/GB/149340957/river-sand3-250x250.jpg,https://www.indiamart.com/proddetail/pure-river-sand-25299472730.html,"Bagged Pure River Sand, 52 Afs"
Construction,Building Materials,River Sand,river sand,Fine Construction River Sand,Bhagwati Enterprises,"₹ 2,000",,Kalyan,,,https://5.imimg.com/data5/SELLER/Default/2025/1/482461142/IN/RR/IN/66595521/fine-sand-crushed-250x250.png,https://www.indiamart.com/proddetail/fine-construction-river-sand-19539629488.html,Fine Construction River Sand
Construction,Building Materials,River Sand,river sand,Construction River Sand,Vansh Construction And Suppliers,₹ 65,,Indore,,,https://5.imimg.com/data5/SELLER/Default/2024/10/460769517/TX/UK/HQ/217123173/brown-construction-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/construction-river-sand-2855169093130.html,Construction River Sand
Construction,Building Materials,River Sand,river sand,"Pale Yellow Construction River Sand, B Grade",Khodiyar Suppliers,₹ 900,,Surat,,,https://5.imimg.com/data5/SELLER/Default/2023/9/347233011/PD/SN/KQ/122788828/white-sand-250x250.jpg,https://www.indiamart.com/proddetail/pale-yellow-construction-river-sand-2850119574073.html,"Pale Yellow Construction River Sand, B Grade"
Construction,Building Materials,River Sand,river sand,Brown River Sand,AP Enterprises,"₹ 1,315",,Lucknow,,,https://5.imimg.com/data5/SELLER/Default/2022/1/DM/MG/UF/138006909/rever-sand-250x250.png,https://www.indiamart.com/proddetail/brown-river-sand-23927704948.html,GST Email Mobile Member: 4 yrs
Construction,Building Materials,River Sand,river sand,Construction River Sand rough,Varaahi Enterprises,₹ 65,,Chennai,,,https://5.imimg.com/data5/SELLER/Default/2025/5/511124391/CU/HF/QQ/243390085/construction-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/construction-river-sand-rough-2856491619930.html,Construction River Sand rough
Construction,Building Materials,River Sand,river sand,"Narmada Bagged Natural River Construction Sand, For Concreting",Uttam Enterprise,"₹ 6,700",,Mumbai,,,https://5.imimg.com/data5/SELLER/Default/2025/8/537664209/DN/NF/BY/3738008/natural-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/natural-river-construction-sand-22304477330.html,"Narmada Bagged Natural River Construction Sand, For Concreting"
Construction,Building Materials,River Sand,river sand,Brown River Sand,Clay Casa,₹ 450,,Chotila,,,https://5.imimg.com/data5/SELLER/Default/2025/6/520604170/TK/AH/NU/247925877/brown-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2856770450033.html,GST Email Mobile Member: 11 months
Construction,Building Materials,River Sand,river sand,Grey Construction River Sand,Bhagvati Bricks Suppliers,₹ 800,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2023/5/308201311/IC/LH/EA/130535107/red-bricks-250x250.jpg,https://www.indiamart.com/proddetail/grey-construction-river-sand-2850133653033.html,Grey Construction River Sand
Construction,Building Materials,River Sand,river sand,"Grey River Sand Powder, For Construction, Grade: A Grade",Aai Shree Khodiyar Enterprise,₹ 900,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/6/OM/FG/YO/78908381/medium-river-sand-250x250.jpeg,https://www.indiamart.com/proddetail/grey-river-sand-powder-25880056030.html,"Grey River Sand Powder, For Construction, Grade: A Grade"
Construction,Building Materials,River Sand,river sand,River Sand,Urbanwave Enterprise,"₹ 20,000",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/2/487158850/OQ/YJ/FG/134643113/screenshot-6065-250x250.png,https://www.indiamart.com/proddetail/river-sand-2855752231591.html,GST Email Mobile Member: 4 yrs
Construction,Building Materials,River Sand,river sand,"Narmada Loose River Sand Reti, Concreting",Nilkanth Enterprise,₹ 800,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2026/3/594118803/WZ/KY/HC/146538415/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/river-sand-reti-2859001063091.html,"Narmada Loose River Sand Reti, Concreting"
Construction,Building Materials,River Sand,river sand,"Narmada Loose Natural River Sand, Plastering",Kisan Petroleum,Ask Price,,Bhavnagar,,,https://5.imimg.com/data5/SELLER/Default/2026/1/576819881/AO/UN/LM/21804536/river-sand-250x250.jpg,https://www.indiamart.com/proddetail/loose-natural-river-sand-2858594075997.html,"Narmada Loose Natural River Sand, Plastering"
Construction,Building Materials,River Sand,river sand,River Sand For Construction,Shreeji Suppliers,₹ 750,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/7/527096997/XZ/VN/FK/46402544/river-sand-for-construction-250x250.jpeg,https://www.indiamart.com/proddetail/river-sand-for-construction-2855069915088.html,River Sand For Construction
Construction,Building Materials,River Sand,river sand,Brown River Sand,Clay Casa,₹ 450,,Chotila,,,https://5.imimg.com/data5/SELLER/Default/2025/6/520604170/TK/AH/NU/247925877/brown-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2856770450033.html,GST Email Mobile Member: 11 months
Construction,Building Materials,River Sand,river sand,Grey Construction River Sand,Bhagvati Bricks Suppliers,₹ 800,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2023/5/308201311/IC/LH/EA/130535107/red-bricks-250x250.jpg,https://www.indiamart.com/proddetail/grey-construction-river-sand-2850133653033.html,Grey Construction River Sand
Construction,Building Materials,River Sand,river sand,"Grey River Sand Powder, For Construction, Grade: A Grade",Aai Shree Khodiyar Enterprise,₹ 900,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/6/OM/FG/YO/78908381/medium-river-sand-250x250.jpeg,https://www.indiamart.com/proddetail/grey-river-sand-powder-25880056030.html,"Grey River Sand Powder, For Construction, Grade: A Grade"
Construction,Building Materials,River Sand,river sand,River Sand,Urbanwave Enterprise,"₹ 20,000",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/2/487158850/OQ/YJ/FG/134643113/screenshot-6065-250x250.png,https://www.indiamart.com/proddetail/river-sand-2855752231591.html,GST Email Mobile Member: 4 yrs
Construction,Building Materials,River Sand,river sand,"Narmada Loose River Sand Reti, Concreting",Nilkanth Enterprise,₹ 800,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2026/3/594118803/WZ/KY/HC/146538415/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/river-sand-reti-2859001063091.html,"Narmada Loose River Sand Reti, Concreting"
